alpha,sigma_m,Sample Entropy,Std
0.1,1000,0.002108644731339398,0.0025287613646785222
0.1,2000,0.0019677982983742157,0.0023210821522089047
0.1,5000,0.002157282869385131,0.0024587387132249216
0.1,10000,0.002552808884925978,0.0026815145279279087
0.1,15000,0.0018724225408748025,0.0023535396529908697
0.1,20000,0.002709033532951165,0.0031348361478934416
0.1,30000,0.0019015939539138032,0.002414770066497726
0.1,50000,0.002195473870903522,0.0027647455003964837
0.5,1000,0.0023758017879990717,0.0030859202756240954
0.5,2000,0.0025718574943380556,0.0025600939386963635
0.5,5000,0.0022672408503892822,0.002911685955733125
0.5,10000,0.0020993641160024505,0.002554449178360676
0.5,15000,0.002643482226717819,0.003235140952190983
0.5,20000,0.0024662645419843876,0.00256634663942825
0.5,30000,0.0023753270687445266,0.003346986300750973
0.5,50000,0.002028902971077121,0.0025325228669905993
1.0,1000,0.002335965832825175,0.0020971489716053783
1.0,2000,0.0026494493482076054,0.0031126250098714075
1.0,5000,0.0024354507647506513,0.0030518576700677086
1.0,10000,0.0027867021368046764,0.002831288718398553
1.0,15000,0.0025789536105937545,0.003239624011193902
1.0,20000,0.0021515858868353353,0.0025138153627872733
1.0,30000,0.00215858559352564,0.0027646484382853964
1.0,50000,0.0021016597245282964,0.0021941398586534672
2.0,1000,0.0028874815585404156,0.0027748668506785684
2.0,2000,0.002298818633412464,0.002758195323496502
2.0,5000,0.002518021371529691,0.00268603167732302
2.0,10000,0.0022197655559091202,0.0025817424301039656
2.0,15000,0.002148748754231249,0.0027786642477358324
2.0,20000,0.0022779675382525707,0.0032484854677253
2.0,30000,0.002194498333574059,0.0024998213620606776
2.0,50000,0.002845753779620408,0.00326690692621564
5.0,1000,0.0020673956855033447,0.0026958569382539497
5.0,2000,0.002243908820947576,0.0020999753266857965
5.0,5000,0.0020428963907164342,0.0023127291096000815
5.0,10000,0.002311696695494695,0.003034213873905774
5.0,15000,0.0022319355061971554,0.002402642545108119
5.0,20000,0.0022025076461504576,0.0028874660823480828
5.0,30000,0.002399190295224369,0.0028165443040382315
5.0,50000,0.002109299489265112,0.002496804674130781
