T,n,Sample Entropy,Std
0.01,1,0.0028321769218728077,0.003096480427138603
0.01,2,0.0024787130635165106,0.002849509605229725
0.01,5,0.002219852524624626,0.0024479367145613805
0.01,10,0.002404701417507747,0.0029111252229967284
0.01,15,0.002343781238727373,0.0028191413722827726
0.01,20,0.003102321894315122,0.003520935596976549
0.01,30,0.0025036171965003347,0.0030689095509025804
0.01,50,0.002565422147765334,0.0028904971192035504
0.1,1,0.0025670665234986145,0.002914357553946803
0.1,2,0.002065535743757965,0.0025014303198841433
0.1,5,0.002587184409907643,0.003133996453134141
0.1,10,0.002400331232110814,0.003016438102426456
0.1,15,0.002051365633587918,0.0024363321905908272
0.1,20,0.002164458549504494,0.0026482399130239908
0.1,30,0.0024218739979415486,0.002532007442644188
0.1,50,0.0024263418156674336,0.0027305800674312175
0.5,1,0.0022903373293765798,0.0025861941562940324
0.5,2,0.002426695754212634,0.002841520304293723
0.5,5,0.0027306529325407027,0.0036646376013093336
0.5,10,0.002203755549733634,0.0023039715829942346
0.5,15,0.0024093182188878594,0.0029854851256243564
0.5,20,0.002293657304545718,0.002974354274978105
0.5,30,0.0028913121986783264,0.0035189038500824466
0.5,50,0.0024672450370314476,0.0026532406722474247
1.0,1,0.0021514984731988147,0.0027445172695607254
1.0,2,0.002320598958553128,0.002841471584469037
1.0,5,0.002312796811607035,0.0029537611055533626
1.0,10,0.0020551020756363527,0.001979152658201127
1.0,15,0.0024711560512676203,0.00304429241001314
1.0,20,0.002843386268567202,0.0036173571833999973
1.0,30,0.00206086107606014,0.0026090562386828207
1.0,50,0.0021509587322076527,0.002584470011174714
10.0,1,0.0019569807643691974,0.002840246184783706
10.0,2,0.0025715987853940584,0.003013344746789249
10.0,5,0.0027629385574662437,0.0029072358547799584
10.0,10,0.0021661265500630554,0.0026494319854298365
10.0,15,0.002700749199793321,0.0031136648694956638
10.0,20,0.0028809566451604256,0.0032147379960059622
10.0,30,0.0019048559662866726,0.002163201505658155
10.0,50,0.002199494625720521,0.002491964168876185
15.0,1,0.002258276370675956,0.002500478940279002
15.0,2,0.002205056412513501,0.0033507297454622932
15.0,5,0.0024925785560861503,0.0027122041424276337
15.0,10,0.002647586633806144,0.003121010395626278
15.0,15,0.0026607328027279165,0.003160763390001473
15.0,20,0.002481949716785493,0.002631387134404078
15.0,30,0.0024760550759679732,0.0025033213244112524
15.0,50,0.0026071672123236956,0.002589470782562083
20.0,1,0.0020429701460314693,0.0025485305998043817
20.0,2,0.0019452465244150566,0.0023449314630973207
20.0,5,0.002449734123456513,0.003029110661037594
20.0,10,0.0022544782924892965,0.0028140159764055103
20.0,15,0.0023634657039777367,0.002841657244345015
20.0,20,0.002149727209522979,0.002314539752044525
20.0,30,0.003059077075402532,0.0032166096139696386
20.0,50,0.0022953613149577653,0.002743414474281203
60.0,1,0.0021885612438696696,0.0026772950605175754
60.0,2,0.002458867114826894,0.0026171359100538665
60.0,5,0.0025165197740525617,0.002701013151857999
60.0,10,0.002287454300948036,0.0024387819870548165
60.0,15,0.0024341614907842225,0.0029713845761914345
60.0,20,0.002527512089847205,0.002838628976307402
60.0,30,0.002386239828756846,0.0027150271462815525
60.0,50,0.002623496332069329,0.0027354321183237704
